dx_class	ICD10_CD	ICD10_CD_NODOT	ICD10_LDESC	IsSubsequent	IsSequela	Billable	Remission
Schizophrenia Spectrum Disorder	F20.2	F202	Catatonic schizophrenia	0	0	1	0
Schizophrenia Spectrum Disorder	F20.3	F203	Undifferentiated schizophrenia	0	0	1	0
Schizophrenia Spectrum Disorder	F20.5	F205	Residual schizophrenia	0	0	1	0
Schizophrenia Spectrum Disorder	F20.8	F208	Other schizophrenia	0	0	0	0
Schizophrenia Spectrum Disorder	F20.81	F2081	Schizophreniform disorder	0	0	1	0
Schizophrenia Spectrum Disorder	F20.89	F2089	Other schizophrenia	0	0	1	0
Schizophrenia Spectrum Disorder	F20.9	F209	Schizophrenia, unspecified	0	0	1	0
Schizophrenia Spectrum Disorder	F25.0	F250	Schizoaffective disorder, bipolar type	0	0	1	0
Schizophrenia Spectrum Disorder	F25.1	F251	Schizoaffective disorder, depressive type	0	0	1	0
Schizophrenia Spectrum Disorder	F25.8	F258	Other schizoaffective disorders	0	0	1	0
Schizophrenia Spectrum Disorder	F25.9	F259	Schizoaffective disorder, unspecified	0	0	1	0
Self-inflicted Injury/Poisoning	T14.91	T1491	Suicide attempt	0	0	1	0
Self-inflicted Injury/Poisoning	T36.0X2	T360X2	Poisoning by penicillins, intentional self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T36.0X2A	T360X2A	Poisoning by penicillins, intentional self-harm, init encntr	0	0	1	0
Self-inflicted Injury/Poisoning	T36.0X2D	T360X2D	Poisoning by penicillins, intentional self-harm, subs encntr	1	0	1	0
Self-inflicted Injury/Poisoning	T36.0X2S	T360X2S	Poisoning by penicillins, intentional self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T36.1X2	T361X2	Poisn by cephalospor/oth beta-lactm antibiot, slf-hrm	0	0	0	0
Self-inflicted Injury/Poisoning	T36.1X2A	T361X2A	Poisn by cephalospor/oth beta-lactm antibiot, slf-hrm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T36.1X2D	T361X2D	Poisn by cephalospor/oth beta-lactm antibiot, slf-hrm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T36.1X2S	T361X2S	Poisn by cephalospor/oth beta-lactm antibiot, slf-hrm, sqla	0	1	1	0
Self-inflicted Injury/Poisoning	T36.2X2	T362X2	Poisoning by chloramphenicol group, self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T36.2X2A	T362X2A	Poisoning by chloramphenicol group, self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T36.2X2D	T362X2D	Poisoning by chloramphenicol group, self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T36.2X2S	T362X2S	Poisoning by chloramphenicol group, self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T36.3X2	T363X2	Poisoning by macrolides, intentional self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T36.3X2A	T363X2A	Poisoning by macrolides, intentional self-harm, init encntr	0	0	1	0
Self-inflicted Injury/Poisoning	T36.3X2D	T363X2D	Poisoning by macrolides, intentional self-harm, subs encntr	1	0	1	0
Self-inflicted Injury/Poisoning	T36.3X2S	T363X2S	Poisoning by macrolides, intentional self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T36.4X2	T364X2	Poisoning by tetracyclines, intentional self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T36.4X2A	T364X2A	Poisoning by tetracyclines, intentional self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T36.4X2D	T364X2D	Poisoning by tetracyclines, intentional self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T36.4X2S	T364X2S	Poisoning by tetracyclines, intentional self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T36.5X2	T365X2	Poisoning by aminoglycosides, intentional self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T36.5X2A	T365X2A	Poisoning by aminoglycosides, intentional self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T36.5X2D	T365X2D	Poisoning by aminoglycosides, intentional self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T36.5X2S	T365X2S	Poisoning by aminoglycosides, intentional self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T36.6X2	T366X2	Poisoning by rifampicins, intentional self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T36.6X2A	T366X2A	Poisoning by rifampicins, intentional self-harm, init encntr	0	0	1	0
Self-inflicted Injury/Poisoning	T36.6X2D	T366X2D	Poisoning by rifampicins, intentional self-harm, subs encntr	1	0	1	0
Self-inflicted Injury/Poisoning	T36.6X2S	T366X2S	Poisoning by rifampicins, intentional self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T36.7X2	T367X2	Poisoning by antifungal antibiot, sys used, self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T36.7X2A	T367X2A	Poisoning by antifungal antibiot, sys used, self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T36.7X2D	T367X2D	Poisoning by antifungal antibiot, sys used, self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T36.7X2S	T367X2S	Poisoning by antifung antibiot, sys used, self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T36.8X2	T368X2	Poisoning by oth systemic antibiotics, self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T36.8X2A	T368X2A	Poisoning by oth systemic antibiotics, self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T36.8X2D	T368X2D	Poisoning by oth systemic antibiotics, self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T36.8X2S	T368X2S	Poisoning by oth systemic antibiotics, self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T36.92X	T3692X	Poisoning by unsp systemic antibiotic, self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T36.92XA	T3692XA	Poisoning by unsp systemic antibiotic, self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T36.92XD	T3692XD	Poisoning by unsp systemic antibiotic, self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T36.92XS	T3692XS	Poisoning by unsp systemic antibiotic, self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T37.0X2	T370X2	Poisoning by sulfonamides, intentional self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T37.0X2A	T370X2A	Poisoning by sulfonamides, intentional self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T37.0X2D	T370X2D	Poisoning by sulfonamides, intentional self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T37.0X2S	T370X2S	Poisoning by sulfonamides, intentional self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T37.1X2	T371X2	Poisoning by antimycobacterial drugs, self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T37.1X2A	T371X2A	Poisoning by antimycobacterial drugs, self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T37.1X2D	T371X2D	Poisoning by antimycobacterial drugs, self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T37.1X2S	T371X2S	Poisoning by antimycobacterial drugs, self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T37.2X2	T372X2	Poisn by antimalari/drugs act on bld protzoa, slf-hrm	0	0	0	0
Self-inflicted Injury/Poisoning	T37.2X2A	T372X2A	Poisn by antimalari/drugs act on bld protzoa, slf-hrm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T37.2X2D	T372X2D	Poisn by antimalari/drugs act on bld protzoa, slf-hrm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T37.2X2S	T372X2S	Poisn by antimalari/drugs act on bld protzoa, slf-hrm, sqla	0	1	1	0
Self-inflicted Injury/Poisoning	T37.3X2	T373X2	Poisoning by oth antiprotozoal drugs, self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T37.3X2A	T373X2A	Poisoning by oth antiprotozoal drugs, self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T37.3X2D	T373X2D	Poisoning by oth antiprotozoal drugs, self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T37.3X2S	T373X2S	Poisoning by oth antiprotozoal drugs, self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T37.4X2	T374X2	Poisoning by anthelminthics, intentional self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T37.4X2A	T374X2A	Poisoning by anthelminthics, intentional self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T37.4X2D	T374X2D	Poisoning by anthelminthics, intentional self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T37.4X2S	T374X2S	Poisoning by anthelminthics, intentional self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T37.5X2	T375X2	Poisoning by antiviral drugs, intentional self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T37.5X2A	T375X2A	Poisoning by antiviral drugs, intentional self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T37.5X2D	T375X2D	Poisoning by antiviral drugs, intentional self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T37.5X2S	T375X2S	Poisoning by antiviral drugs, intentional self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T37.8X2	T378X2	Poisn by oth systemic anti-infect/parasit, self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T37.8X2A	T378X2A	Poisn by oth systemic anti-infect/parasit, self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T37.8X2D	T378X2D	Poisn by oth systemic anti-infect/parasit, self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T37.8X2S	T378X2S	Poisn by oth systemic anti-infect/parasit, slf-hrm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T37.92X	T3792X	Poisn by unsp sys anti-infect and antiparastc, slf-hrm	0	0	0	0
Self-inflicted Injury/Poisoning	T37.92XA	T3792XA	Poisn by unsp sys anti-infect and antiparastc, slf-hrm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T37.92XD	T3792XD	Poisn by unsp sys anti-infect and antiparastc, slf-hrm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T37.92XS	T3792XS	Poisn by unsp sys anti-infect and antiparastc, slf-hrm, sqla	0	1	1	0
Self-inflicted Injury/Poisoning	T38.0X2	T380X2	Poisoning by glucocort/synth analog, self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T38.0X2A	T380X2A	Poisoning by glucocort/synth analog, self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T38.0X2D	T380X2D	Poisoning by glucocort/synth analog, self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T38.0X2S	T380X2S	Poisoning by glucocort/synth analog, self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T38.1X2	T381X2	Poisoning by thyroid hormones and sub, self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T38.1X2A	T381X2A	Poisoning by thyroid hormones and sub, self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T38.1X2D	T381X2D	Poisoning by thyroid hormones and sub, self-harm, subs	1	0	1	0
Self-inflicted Injury/Poisoning	T38.1X2S	T381X2S	Poisoning by thyroid hormones and sub, self-harm, sequela	0	1	1	0
Self-inflicted Injury/Poisoning	T38.2X2	T382X2	Poisoning by antithyroid drugs, intentional self-harm	0	0	0	0
Self-inflicted Injury/Poisoning	T38.2X2A	T382X2A	Poisoning by antithyroid drugs, intentional self-harm, init	0	0	1	0
Self-inflicted Injury/Poisoning	T38.2X2D	T382X2D	Poisoning by antithyroid drugs, intentional self-harm, subs	1	0	1	0
