Obs,CODE,CATEGORY,DESC,REV,CMS06,CMS07,CMS08,CMS09,CMS10,CMS11,CMS12,CMS13,CMS14,CMS15,CMS16,CMS17,CMS18,CMS19,CMS20,CMS21,CMS22,CMS23,CMS24,CMS25
24,E9672,Exposure to violence,ABUSE BY MTHER/STPMTH/GF,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
25,E9673,Exposure to violence,BATTER BY SPOUSE/PARTNER,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
26,E9674,Exposure to violence,BATTERING BY CHILD,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
27,E9675,Exposure to violence,BATTERING BY SIBLING,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
28,E9676,Exposure to violence,BATTERING BY GRANDPARENT,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
29,E9677,Exposure to violence,BATTER BY OTHER RELATIVE,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
30,E9678,Exposure to violence,BATTER BY NON-RELATIVE,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
31,E9679,Exposure to violence,CHILD ABUSE NOS,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
32,E9680,Exposure to violence,ASSAULT-FIRE,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
33,E9681,Exposure to violence,ASSLT-PUSH FROM HI PLACE,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
34,E9682,Exposure to violence,ASSAULT-STRIKING W OBJ,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
35,E9683,Exposure to violence,ASSAULT-HOT LIQUID,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
36,E9684,Exposure to violence,ASSAULT-CRIMINAL NEGLECT,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
37,E9685,Exposure to violence,ASSLT-TRANSPORT VEHICLE,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
38,E9686,Exposure to violence,ASSAULT - AIR GUN,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
39,E9687,Exposure to violence,HUMAN BITE - ASSAULT,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
40,E9688,Exposure to violence,ASSAULT NEC,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
41,E9689,Exposure to violence,ASSAULT NOS,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
42,E969,Exposure to violence,LATE EFFECT ASSAULT,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
43,E970,Exposure to violence,LEGAL INTERVENT-FIREARM,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
44,E971,Exposure to violence,LEGAL INTERVENT-EXPLOSIV,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
45,E972,Exposure to violence,LEGAL INTERVENT-GAS,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
46,E973,Exposure to violence,LEGAL INTERVEN-BLUNT OBJ,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
47,E974,Exposure to violence,LEGAL INTERVEN-CUT INSTR,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
48,E975,Exposure to violence,LEGAL INTERVENTION NEC,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
49,E976,Exposure to violence,LEGAL INTERVENTION NOS,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
50,E977,Exposure to violence,LATE EFF-LEGAL INTERVENT,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
51,E978,Exposure to violence,LEGAL EXECUTION,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
52,E9790,Exposure to violence,"TERRORISM,MARINE WEAPONS",9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
53,E9791,Exposure to violence,"TERRORISM,DEST AIRCRAFT",9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
54,E9792,Exposure to violence,"TERRORISM,EXPLOSIONS",9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
55,E9793,Exposure to violence,"TERRORISM, FIRES",9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
56,E9794,Exposure to violence,"TERRORISM, FIREARMS",9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
57,E9795,Exposure to violence,"TERRORISM, NUC WEAPONS",9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
58,E9796,Exposure to violence,"TERRORISM, BIOLOGICALS",9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
59,E9797,Exposure to violence,"TERRORISM, CHEMICALS",9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
60,E9798,Exposure to violence,"TERRORISM, NEC/NOS",9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
61,E9799,Exposure to violence,"TERRORISM, SECONDARY",9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
62,E9900,Exposure to violence,WAR INJ:GASOLINE BOMB,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
63,E9901,Exposure to violence,WAR INJ:FLAMETHROWER,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
64,E9902,Exposure to violence,WAR INJ:INCNDIARY BULLET,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
65,E9903,Exposure to violence,WAR INJ:IND CONVN WEAPN,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
66,E9909,Exposure to violence,WAR INJURY:FIRE NEC,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
67,E9910,Exposure to violence,WAR INJ:RUBBER BULLET,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
68,E9911,Exposure to violence,WAR INJURY:PELLETS,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
69,E9912,Exposure to violence,WAR INJURY:BULLET NEC,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
70,E9913,Exposure to violence,WAR INJ:ANTIPERSON BOMB,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
71,E9914,Exposure to violence,WAR INJ:MUNITION FRAGMNT,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
72,E9915,Exposure to violence,WAR INJ:PRSN-BRN FRAGMNT,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
73,E9916,Exposure to violence,WAR INJ:VEHIC-BORNE IED,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
74,E9917,Exposure to violence,WAR INJ:FRAGMENT IED NEC,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
75,E9918,Exposure to violence,WAR INJ:WEAPON FRAGMENTS,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
76,E9919,Exposure to violence,WAR INJ:FRAGMENTS NEC,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
77,E992,Exposure to violence,WAR INJ:MARINE EXPLOS,9,1,1,1,1,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.
78,E9920,Exposure to violence,WAR INJ:TORPEDO,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
79,E9921,Exposure to violence,WAR INJ:DEPTH CHARGE,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
80,E9922,Exposure to violence,WAR INJ:MARINE MINES,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
81,E9923,Exposure to violence,WAR INJ:SEABASE ART SHEL,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
82,E9928,Exposure to violence,WAR INJ:MARINE WEAPN NEC,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
83,E9929,Exposure to violence,WAR INJ:MARINE WEAPN NOS,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
84,E993,Exposure to violence,WAR INJURY:EXPLOS NEC,9,1,1,1,1,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.
85,E9930,Exposure to violence,WAR INJ:AERIAL BOMB,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
86,E9931,Exposure to violence,WAR INJ:GUIDED MISSILE,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
87,E9932,Exposure to violence,WAR INJ:MORTAR,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
88,E9933,Exposure to violence,WAR INJ:PERSON IED,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
89,E9934,Exposure to violence,WAR INJ:VEHICLE IED,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
90,E9935,Exposure to violence,WAR INJ:IED NEC,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
91,E9936,Exposure to violence,WAR INJ:ACC OWN MUNITION,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
92,E9937,Exposure to violence,WAR INJ:ACC DISCH LAUNCH,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
93,E9938,Exposure to violence,WAR INJ:EXPLOSION NEC,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
94,E9939,Exposure to violence,WAR INJ:EXPLOSION NOS,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
95,E994,Exposure to violence,WAR INJ:AIRCRFT DESTRUC,9,1,1,1,1,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.
96,E9940,Exposure to violence,WAR INJ:AIRCRFT DES-ENMY,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
97,E9941,Exposure to violence,WAR INJ:AIRCRFT-OWN EXPL,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
98,E9942,Exposure to violence,WAR INJ:AIRCRFT COLLISN,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
99,E9943,Exposure to violence,WAR INJ:AIRCRAFT FIRE,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
100,E9948,Exposure to violence,WAR INJ:AIRCRFT DEST NEC,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
101,E9949,Exposure to violence,WAR INJ:AIRCRFT DEST NOS,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
102,E995,Exposure to violence,WAR INJUR-CONVEN WAR NEC,9,1,1,1,1,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.
103,E9950,Exposure to violence,WAR INJ:HND-HND COMBAT,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
104,E9951,Exposure to violence,WAR INJ:BLUNT OBJECT,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
105,E9952,Exposure to violence,WAR INJ:PIERCING OBJECT,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
106,E9953,Exposure to violence,WAR INJ:INTN RESTRCT AIR,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
107,E9954,Exposure to violence,WAR INJ:UNINTENTL DROWN,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
108,E9958,Exposure to violence,WAR INJ:CON WARFARE NEC,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
109,E9959,Exposure to violence,WAR INJ:CON WARFARE NOS,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
110,E996,Exposure to violence,WAR INJ:NUCLEAR WEAPONS,9,1,1,1,1,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.
111,E9960,Exposure to violence,WAR INJ:DIR NUCL WEAPON,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
112,E9961,Exposure to violence,WAR INJ:INDIR NUCL WEAPN,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
113,E9962,Exposure to violence,WAR INJ:THERML RADIATION,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
114,E9963,Exposure to violence,WAR INJ:NUCLEAR RAD EFF,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
115,E9968,Exposure to violence,WAR INJ:NUCL WEAPON NEC,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
116,E9969,Exposure to violence,WAR INJ:NUCL WEAPON NOS,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
117,E9970,Exposure to violence,WAR INJURY:LASERS,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
118,E9971,Exposure to violence,WAR INJURY:BIOL WARFARE,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
119,E9972,Exposure to violence,WAR INJURY:GAS/FUM/CHEM,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
120,E9973,Exposure to violence,WAR INJ:WMD NOS,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
121,E9978,Exposure to violence,WAR INJ-UNCONVEN WAR NEC,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
122,E9979,Exposure to violence,WAR INJ-UNCONVEN WAR NOS,9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
123,E998,Exposure to violence,WAR INJ:POST WAR OPERAT,9,1,1,1,1,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.
124,E9980,Exposure to violence,WAR INJ:EXPL MINE-CEASE,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
125,E9981,Exposure to violence,WAR INJ:EXPL BOMB-CEASE,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
126,E9988,Exposure to violence,WAR INJ:AFTER CEASE NEC,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
127,E9989,Exposure to violence,WAR INJ:AFTER CEASE NOS,9,0,0,0,0,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
128,E9990,Exposure to violence,"LATE EFFECT, WAR INJURY",9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
129,E9991,Exposure to violence,"LATE EFFECT, TERRORISM",9,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.
130,F4310,Abuse and neglect,"POST-TRAUMATIC STRESS DISORDER, UNSPECIFIED",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
131,F4311,Abuse and neglect,"POST-TRAUMATIC STRESS DISORDER, ACUTE",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
132,F4312,Abuse and neglect,"POST-TRAUMATIC STRESS DISORDER, CHRONIC",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
133,O9A311,Abuse and neglect,"PHYSICAL ABUSE COMPLICATING PREGNANCY, FIRST TRIMESTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
134,O9A312,Abuse and neglect,"PHYSICAL ABUSE COMPLICATING PREGNANCY, SECOND TRIMESTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
135,O9A313,Abuse and neglect,"PHYSICAL ABUSE COMPLICATING PREGNANCY, THIRD TRIMESTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
136,O9A319,Abuse and neglect,"PHYSICAL ABUSE COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
137,O9A32,Abuse and neglect,PHYSICAL ABUSE COMPLICATING CHILDBIRTH,10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
138,O9A33,Abuse and neglect,PHYSICAL ABUSE COMPLICATING THE PUERPERIUM,10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
139,O9A411,Abuse and neglect,"SEXUAL ABUSE COMPLICATING PREGNANCY, FIRST TRIMESTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
140,O9A412,Abuse and neglect,"SEXUAL ABUSE COMPLICATING PREGNANCY, SECOND TRIMESTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
141,O9A413,Abuse and neglect,"SEXUAL ABUSE COMPLICATING PREGNANCY, THIRD TRIMESTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
142,O9A419,Abuse and neglect,"SEXUAL ABUSE COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
143,O9A42,Abuse and neglect,SEXUAL ABUSE COMPLICATING CHILDBIRTH,10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
144,O9A43,Abuse and neglect,SEXUAL ABUSE COMPLICATING THE PUERPERIUM,10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
145,O9A511,Abuse and neglect,"PSYCHOLOGICAL ABUSE COMPLICATING PREGNANCY, FIRST TRIMESTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
146,O9A512,Abuse and neglect,"PSYCHOLOGICAL ABUSE COMPLICATING PREGNANCY, SECOND TRIMESTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
147,O9A513,Abuse and neglect,"PSYCHOLOGICAL ABUSE COMPLICATING PREGNANCY, THIRD TRIMESTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
148,O9A519,Abuse and neglect,"PSYCHOLOGICAL ABUSE COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
149,O9A52,Abuse and neglect,PSYCHOLOGICAL ABUSE COMPLICATING CHILDBIRTH,10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
150,O9A53,Abuse and neglect,PSYCHOLOGICAL ABUSE COMPLICATING THE PUERPERIUM,10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
151,T7401XA,Abuse and neglect,"ADULT NEGLECT OR ABANDONMENT, CONFIRMED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
152,T7401XD,Abuse and neglect,"ADULT NEGLECT OR ABANDONMENT, CONFIRMED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
153,T7401XS,Abuse and neglect,"ADULT NEGLECT OR ABANDONMENT, CONFIRMED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
154,T7402XA,Abuse and neglect,"CHILD NEGLECT OR ABANDONMENT, CONFIRMED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
155,T7402XD,Abuse and neglect,"CHILD NEGLECT OR ABANDONMENT, CONFIRMED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
156,T7402XS,Abuse and neglect,"CHILD NEGLECT OR ABANDONMENT, CONFIRMED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
157,T7411XA,Abuse and neglect,"ADULT PHYSICAL ABUSE, CONFIRMED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
158,T7411XD,Abuse and neglect,"ADULT PHYSICAL ABUSE, CONFIRMED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
159,T7411XS,Abuse and neglect,"ADULT PHYSICAL ABUSE, CONFIRMED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
160,T7412XA,Abuse and neglect,"CHILD PHYSICAL ABUSE, CONFIRMED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
161,T7412XD,Abuse and neglect,"CHILD PHYSICAL ABUSE, CONFIRMED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
162,T7412XS,Abuse and neglect,"CHILD PHYSICAL ABUSE, CONFIRMED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
163,T7421XA,Abuse and neglect,"ADULT SEXUAL ABUSE, CONFIRMED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
164,T7421XD,Abuse and neglect,"ADULT SEXUAL ABUSE, CONFIRMED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
165,T7421XS,Abuse and neglect,"ADULT SEXUAL ABUSE, CONFIRMED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
166,T7422XA,Abuse and neglect,"CHILD SEXUAL ABUSE, CONFIRMED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
167,T7422XD,Abuse and neglect,"CHILD SEXUAL ABUSE, CONFIRMED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
168,T7422XS,Abuse and neglect,"CHILD SEXUAL ABUSE, CONFIRMED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
169,T7431XA,Abuse and neglect,"ADULT PSYCHOLOGICAL ABUSE, CONFIRMED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
170,T7431XD,Abuse and neglect,"ADULT PSYCHOLOGICAL ABUSE, CONFIRMED, SUBSEQUENT ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
171,T7431XS,Abuse and neglect,"ADULT PSYCHOLOGICAL ABUSE, CONFIRMED, SEQUELA",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
172,T7432XA,Abuse and neglect,"CHILD PSYCHOLOGICAL ABUSE, CONFIRMED, INITIAL ENCOUNTER",10,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1
