dx_class	ICD9_CD_NODOT	ICD9_CD	ICD9_LDESC	Remission
Possibly Self-Inflicted Injury	E9808	E980.8	Poisoning by arsenic and its compounds, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9809	E980.9	Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purpo	0
Possibly Self-Inflicted Injury	E9810	E981.0	Poisoning by gas distributed by pipeline, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9811	E981.1	Poisoning by liquefied petroleum gas distributed in mobile containers, undetermined whether accidentally o	0
Possibly Self-Inflicted Injury	E9818	E981.8	Poisoning by other utility gas, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9820	E982.0	Poisoning by motor vehicle exhaust gas, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9821	E982.1	Poisoning by other carbon monoxide, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9828	E982.8	Poisoning by other specified gases and vapors, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9829	E982.9	Poisoning by unspecified gases and vapors, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9830	E983.0	Hanging, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9831	E983.1	Suffocation by plastic bag, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9838	E983.8	Strangulation or suffocation by other specified means, undetermined whether accidentally or purposely infl	0
Possibly Self-Inflicted Injury	E9839	E983.9	Strangulation or suffocation by unspecified means, undetermined whether accidentally or purposely inflicte	0
Possibly Self-Inflicted Injury	E984	E98.4	Submersion (drowning), undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9850	E985.0	Injury by handgun, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9851	E985.1	Injury by shotgun, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9852	E985.2	Injury by hunting rifle, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9853	E985.3	Injury by military firearms, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9854	E985.4	Injury by other and unspecified firearm, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9855	E985.5	Injury by explosives, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9856	E985.6	Injury by air gun, undetermined whether accidental or purposely inflicted	0
Possibly Self-Inflicted Injury	E9857	E985.7	Injury by paintball gun, undetermined whether accidental or purposely inflicted	0
Possibly Self-Inflicted Injury	E986	E98.6	Injury by cutting and piercing instruments, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9870	E987.0	Falling from residential premises, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9871	E987.1	Falling from other man-made structures, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9872	E987.2	Falling from natural sites, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9879	E987.9	Falling from unspecified site, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9880	E988.0	Injury by jumping or lying before moving object, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9881	E988.1	Injury by burns or fire, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9882	E988.2	Injury by scald, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9883	E988.3	Injury by extremes of cold, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9884	E988.4	Injury by electrocution, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9885	E988.5	Injury by crashing of motor vehicle, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9886	E988.6	Injury by crashing of aircraft, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9887	E988.7	Injury by caustic substances, except poisoning, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9888	E988.8	Injury by other specified means, undetermined whether accidentally or purposely inflicted	0
Possibly Self-Inflicted Injury	E9889	E988.9	Injury by unspecified means, undetermined whether accidentally or purposely inflicted	0
Schizophrenia Spectrum Disorder	295	295	Schizophrenia Spectrum Disorder	0
Schizophrenia Spectrum Disorder	29500	295.00	Simple type schizophrenia, unspecified	0
Schizophrenia Spectrum Disorder	29501	295.01	Simple type schizophrenia, subchronic	0
Schizophrenia Spectrum Disorder	29502	295.02	Simple type schizophrenia, chronic	0
Schizophrenia Spectrum Disorder	29503	295.03	Simple type schizophrenia, subchronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29504	295.04	Simple type schizophrenia, chronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29505	295.05	Simple type schizophrenia, in remission	1
Schizophrenia Spectrum Disorder	29510	295.10	Disorganized type schizophrenia, unspecified	0
Schizophrenia Spectrum Disorder	29511	295.11	Disorganized type schizophrenia, subchronic	0
Schizophrenia Spectrum Disorder	29512	295.12	Disorganized type schizophrenia, chronic	0
Schizophrenia Spectrum Disorder	29513	295.13	Disorganized type schizophrenia, subchronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29514	295.14	Disorganized type schizophrenia, chronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29515	295.15	Disorganized type schizophrenia, in remission	1
Schizophrenia Spectrum Disorder	29520	295.20	Catatonic type schizophrenia, unspecified	0
Schizophrenia Spectrum Disorder	29521	295.21	Catatonic type schizophrenia, subchronic	0
Schizophrenia Spectrum Disorder	29522	295.22	Catatonic type schizophrenia, chronic	0
Schizophrenia Spectrum Disorder	29523	295.23	Catatonic type schizophrenia, subchronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29524	295.24	Catatonic type schizophrenia, chronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29525	295.25	Catatonic type schizophrenia, in remission	1
Schizophrenia Spectrum Disorder	29530	295.30	Paranoid type schizophrenia, unspecified	0
Schizophrenia Spectrum Disorder	29531	295.31	Paranoid type schizophrenia, subchronic	0
Schizophrenia Spectrum Disorder	29532	295.32	Paranoid type schizophrenia, chronic	0
Schizophrenia Spectrum Disorder	29533	295.33	Paranoid type schizophrenia, subchronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29534	295.34	Paranoid type schizophrenia, chronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29535	295.35	Paranoid type schizophrenia, in remission	1
Schizophrenia Spectrum Disorder	29540	295.40	Schizophreniform disorder, unspecified	0
Schizophrenia Spectrum Disorder	29541	295.41	Schizophreniform disorder, subchronic	0
Schizophrenia Spectrum Disorder	29542	295.42	Schizophreniform disorder, chronic	0
Schizophrenia Spectrum Disorder	29543	295.43	Schizophreniform disorder, subchronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29544	295.44	Schizophreniform disorder, chronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29545	295.45	Schizophreniform disorder, in remission	1
Schizophrenia Spectrum Disorder	29550	295.50	Latent schizophrenia, unspecified	0
Schizophrenia Spectrum Disorder	29551	295.51	Latent schizophrenia, subchronic	0
Schizophrenia Spectrum Disorder	29552	295.52	Latent schizophrenia, chronic	0
Schizophrenia Spectrum Disorder	29553	295.53	Latent schizophrenia, subchronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29554	295.54	Latent schizophrenia, chronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29555	295.55	Latent schizophrenia, in remission	1
Schizophrenia Spectrum Disorder	29560	295.60	Schizophrenic disorders, residual type, unspecified	0
Schizophrenia Spectrum Disorder	29561	295.61	Schizophrenic disorders, residual type, subchronic	0
Schizophrenia Spectrum Disorder	29562	295.62	Schizophrenic disorders, residual type, chronic	0
Schizophrenia Spectrum Disorder	29563	295.63	Schizophrenic disorders, residual type, subchronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29564	295.64	Schizophrenic disorders, residual type, chronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29565	295.65	Schizophrenic disorders, residual type, in remission	1
Schizophrenia Spectrum Disorder	29570	295.70	Schizoaffective disorder, unspecified	0
Schizophrenia Spectrum Disorder	29571	295.71	Schizoaffective disorder, subchronic	0
Schizophrenia Spectrum Disorder	29572	295.72	Schizoaffective disorder, chronic	0
Schizophrenia Spectrum Disorder	29573	295.73	Schizoaffective disorder, subchronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29574	295.74	Schizoaffective disorder, chronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29575	295.75	Schizoaffective disorder, in remission	1
Schizophrenia Spectrum Disorder	29580	295.80	Other specified types of schizophrenia, unspecified	0
Schizophrenia Spectrum Disorder	29581	295.81	Other specified types of schizophrenia, subchronic	0
Schizophrenia Spectrum Disorder	29582	295.82	Other specified types of schizophrenia, chronic	0
Schizophrenia Spectrum Disorder	29583	295.83	Other specified types of schizophrenia, subchronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29584	295.84	Other specified types of schizophrenia, chronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29585	295.85	Other specified types of schizophrenia, in remission	1
Schizophrenia Spectrum Disorder	29590	295.90	Unspecified schizophrenia, unspecified	0
Schizophrenia Spectrum Disorder	29591	295.91	Unspecified schizophrenia, subchronic	0
Schizophrenia Spectrum Disorder	29592	295.92	Unspecified schizophrenia, chronic	0
Schizophrenia Spectrum Disorder	29593	295.93	Unspecified schizophrenia, subchronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29594	295.94	Unspecified schizophrenia, chronic with acute exacerbation	0
Schizophrenia Spectrum Disorder	29595	295.95	Unspecified schizophrenia, in remission	1
Self-Inflicted Injury	E9500	E950.0	Suicide and self-inflicted poisoning by analgesics, antipyretics, and antirheumatics	0
Self-Inflicted Injury	E9501	E950.1	Suicide and self-inflicted poisoning by barbiturates	0
Self-Inflicted Injury	E9502	E950.2	Suicide and self-inflicted poisoning by other sedatives and hypnotics	0
Self-Inflicted Injury	E9503	E950.3	Suicide and self-inflicted poisoning by tranquilizers and other psychotropic agents	0
Self-Inflicted Injury	E9504	E950.4	Suicide and self-inflicted poisoning by other specified drugs and medicinal substances	0
Self-Inflicted Injury	E9505	E950.5	Suicide and self-inflicted poisoning by unspecified drug or medicinal substance	0
Self-Inflicted Injury	E9506	E950.6	Suicide and self-inflicted poisoning by agricultural and horticultural chemical and pharmaceutical prepara	0
Self-Inflicted Injury	E9507	E950.7	Suicide and self-inflicted poisoning by corrosive and caustic substances	0
Self-Inflicted Injury	E9508	E950.8	Suicide and self-inflicted poisoning by arsenic and its compounds	0
Self-Inflicted Injury	E9509	E950.9	Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances	0
Self-Inflicted Injury	E9510	E951.0	Suicide and self-inflicted poisoning by gas distributed by pipeline	0
Self-Inflicted Injury	E9511	E951.1	Suicide and self-inflicted poisoning by liquefied petroleum gas distributed in mobile containers	0
Self-Inflicted Injury	E9518	E951.8	Suicide and self-inflicted poisoning by other utility gas	0
Self-Inflicted Injury	E9520	E952.0	Suicide and self-inflicted poisoning by motor vehicle exhaust gas	0
Self-Inflicted Injury	E9521	E952.1	Suicide and self-inflicted poisoning by other carbon monoxide	0
Self-Inflicted Injury	E9528	E952.8	Suicide and self-inflicted poisoning by other specified gases and vapors	0
Self-Inflicted Injury	E9529	E952.9	Suicide and self-inflicted poisoning by unspecified gases and vapors	0
Self-Inflicted Injury	E9530	E953.0	Suicide and self-inflicted injury by hanging	0
Self-Inflicted Injury	E9531	E953.1	Suicide and self-inflicted injury by suffocation by plastic bag	0
Self-Inflicted Injury	E9538	E953.8	Suicide and self-inflicted injury by other specified means	0
Self-Inflicted Injury	E9539	E953.9	Suicide and self-inflicted injury by unspecified means	0
Self-Inflicted Injury	E954	E95.4	Suicide and self-inflicted injury by submersion [drowning]	0
Self-Inflicted Injury	E9550	E955.0	Suicide and self-inflicted injury by handgun	0
Self-Inflicted Injury	E9551	E955.1	Suicide and self-inflicted injury by shotgun	0
Self-Inflicted Injury	E9552	E955.2	Suicide and self-inflicted injury by hunting rifle	0
Self-Inflicted Injury	E9553	E955.3	Suicide and self-inflicted injury by military firearms	0
Self-Inflicted Injury	E9554	E955.4	Suicide and self-inflicted injury by other and unspecified firearm	0
Self-Inflicted Injury	E9555	E955.5	Suicide and self-inflicted injury by explosives	0
Self-Inflicted Injury	E9556	E955.6	Suicide and self-inflicted injury by air gun	0
Self-Inflicted Injury	E9557	E955.7	Suicide and self-inflicted injury by paintball gun	0
Self-Inflicted Injury	E9559	E955.9	Suicide and self-inflicted injury by firearms and explosives, unspecified	0
Self-Inflicted Injury	E956	E95.6	Suicide and self-inflicted injury by cutting and piercing instrument	0
Self-Inflicted Injury	E9570	E957.0	Suicide and self-inflicted injuries by jumping from residential premises	0
Self-Inflicted Injury	E9571	E957.1	Suicide and self-inflicted injuries by jumping from other man-made structures	0
Self-Inflicted Injury	E9572	E957.2	Suicide and self-inflicted injuries by jumping from natural sites	0
Self-Inflicted Injury	E9579	E957.9	Suicide and self-inflicted injuries by jumping from unspecified site	0
Self-Inflicted Injury	E9580	E958.0	Suicide and self-inflicted injury by jumping or lying before moving object	0
Self-Inflicted Injury	E9581	E958.1	Suicide and self-inflicted injury by burns, fire	0
Self-Inflicted Injury	E9582	E958.2	Suicide and self-inflicted injury by scald	0
Self-Inflicted Injury	E9583	E958.3	Suicide and self-inflicted injury by extremes of cold	0
Self-Inflicted Injury	E9584	E958.4	Suicide and self-inflicted injury by electrocution	0
Self-Inflicted Injury	E9585	E958.5	Suicide and self-inflicted injury by crashing of motor vehicle	0
Self-Inflicted Injury	E9586	E958.6	Suicide and self-inflicted injury by crashing of aircraft	0
Self-Inflicted Injury	E9587	E958.7	Suicide and self-inflicted injury by caustic substances, except poisoning	0
Self-Inflicted Injury	E9588	E958.8	Suicide and self-inflicted injury by other specified means	0
Self-Inflicted Injury	E9589	E958.9	Suicide and self-inflicted injury by unspecified means	0
Substance Abuse Disorder	2910	291.0	Alcohol withdrawal delirium	0
Substance Abuse Disorder	2911	291.1	Alcohol-induced persisting amnestic disorder	0
Substance Abuse Disorder	2912	291.2	Alcohol-induced persisting dementia	0
Substance Abuse Disorder	2913	291.3	Alcohol-induced psychotic disorder with hallucinations	0
Substance Abuse Disorder	2914	291.4	Idiosyncratic alcohol intoxication	0
Substance Abuse Disorder	2915	291.5	Alcohol-induced psychotic disorder with delusions	0
Substance Abuse Disorder	29181	291.81	Alcohol withdrawal	0
Substance Abuse Disorder	29182	291.82	Alcohol induced sleep disorders	0
Substance Abuse Disorder	29189	291.89	Other alcohol-induced mental disorders	0
Substance Abuse Disorder	2919	291.9	Unspecified alcohol-induced mental disorders	0
Substance Abuse Disorder	2920	292.0	Drug withdrawal	0
Substance Abuse Disorder	29211	292.11	Drug-induced psychotic disorder with delusions	0
Substance Abuse Disorder	29212	292.12	Drug-induced psychotic disorder with hallucinations	0
Substance Abuse Disorder	2922	292.2	Pathological drug intoxication	0
Substance Abuse Disorder	29281	292.81	Drug-induced delirium	0
Substance Abuse Disorder	29282	292.82	Drug-induced persisting dementia	0
Substance Abuse Disorder	29283	292.83	Drug-induced persisting amnestic disorder	0
Substance Abuse Disorder	29284	292.84	Drug-induced mood disorder	0
Substance Abuse Disorder	29289	292.89	Other specified drug-induced mental disorders	0
Substance Abuse Disorder	2929	292.9	Unspecified drug-induced mental disorder	0
